Designator,Footprint,Quantity,Value,LCSC Part #
"J1-A1, J1-B1",conn_edge_hdr_pin_3_spc_1.27,2,SWD-5,
J2,PinHeader_2x05_P1.27mm_Vertical,1,SWD-10,
